pos,Protein
1,5'UTR
2,5'UTR
3,5'UTR
4,5'UTR
5,5'UTR
6,5'UTR
7,5'UTR
8,5'UTR
9,5'UTR
10,5'UTR
11,5'UTR
12,5'UTR
13,5'UTR
14,5'UTR
15,5'UTR
16,5'UTR
17,5'UTR
18,5'UTR
19,5'UTR
20,5'UTR
21,5'UTR
22,5'UTR
23,5'UTR
24,5'UTR
25,5'UTR
26,5'UTR
27,5'UTR
28,5'UTR
29,5'UTR
30,5'UTR
31,5'UTR
32,5'UTR
33,5'UTR
34,5'UTR
35,5'UTR
36,5'UTR
37,5'UTR
38,5'UTR
39,5'UTR
40,5'UTR
41,5'UTR
42,5'UTR
43,5'UTR
44,5'UTR
45,5'UTR
46,5'UTR
47,5'UTR
48,5'UTR
49,5'UTR
50,5'UTR
51,5'UTR
52,5'UTR
53,5'UTR
54,5'UTR
55,5'UTR
56,5'UTR
57,5'UTR
58,5'UTR
59,5'UTR
60,5'UTR
61,5'UTR
62,5'UTR
63,5'UTR
64,5'UTR
65,5'UTR
66,5'UTR
67,5'UTR
68,5'UTR
69,5'UTR
70,5'UTR
71,5'UTR
72,5'UTR
73,5'UTR
74,5'UTR
75,5'UTR
76,5'UTR
77,5'UTR
78,5'UTR
79,5'UTR
80,5'UTR
81,5'UTR
82,5'UTR
83,5'UTR
84,5'UTR
85,5'UTR
86,5'UTR
87,5'UTR
88,5'UTR
89,5'UTR
90,5'UTR
91,5'UTR
92,5'UTR
93,5'UTR
94,5'UTR
95,5'UTR
96,5'UTR
97,5'UTR
98,5'UTR
99,5'UTR
100,5'UTR
101,5'UTR
102,5'UTR
103,5'UTR
104,5'UTR
105,5'UTR
106,5'UTR
107,5'UTR
108,5'UTR
109,5'UTR
110,5'UTR
111,5'UTR
112,5'UTR
113,5'UTR
114,5'UTR
115,5'UTR
116,5'UTR
117,5'UTR
118,5'UTR
119,5'UTR
120,5'UTR
121,5'UTR
122,5'UTR
123,5'UTR
124,5'UTR
125,5'UTR
126,5'UTR
127,5'UTR
128,5'UTR
129,5'UTR
130,5'UTR
131,5'UTR
132,5'UTR
133,5'UTR
134,5'UTR
135,5'UTR
136,5'UTR
137,5'UTR
138,5'UTR
139,5'UTR
140,5'UTR
141,5'UTR
142,5'UTR
143,5'UTR
144,5'UTR
145,5'UTR
146,5'UTR
147,5'UTR
148,5'UTR
149,5'UTR
150,5'UTR
151,5'UTR
152,5'UTR
153,5'UTR
154,5'UTR
155,5'UTR
156,5'UTR
157,5'UTR
158,5'UTR
159,5'UTR
160,5'UTR
161,5'UTR
162,5'UTR
163,5'UTR
164,5'UTR
165,5'UTR
166,5'UTR
167,5'UTR
168,5'UTR
169,5'UTR
170,5'UTR
171,5'UTR
172,5'UTR
173,5'UTR
174,5'UTR
175,5'UTR
176,5'UTR
177,5'UTR
178,5'UTR
179,5'UTR
180,5'UTR
181,5'UTR
182,5'UTR
183,5'UTR
184,5'UTR
185,5'UTR
186,5'UTR
187,5'UTR
188,5'UTR
189,5'UTR
190,5'UTR
191,5'UTR
192,5'UTR
193,5'UTR
194,5'UTR
195,5'UTR
196,5'UTR
197,5'UTR
198,5'UTR
199,5'UTR
200,5'UTR
201,5'UTR
202,5'UTR
203,5'UTR
204,5'UTR
205,5'UTR
206,5'UTR
207,5'UTR
208,5'UTR
209,5'UTR
210,5'UTR
211,5'UTR
212,5'UTR
213,5'UTR
214,5'UTR
215,5'UTR
216,5'UTR
217,5'UTR
218,5'UTR
219,5'UTR
220,5'UTR
221,5'UTR
222,5'UTR
223,5'UTR
224,5'UTR
225,5'UTR
226,5'UTR
227,5'UTR
228,5'UTR
229,5'UTR
230,5'UTR
231,5'UTR
232,5'UTR
233,5'UTR
234,5'UTR
235,5'UTR
236,5'UTR
237,5'UTR
238,5'UTR
239,5'UTR
240,5'UTR
241,5'UTR
242,5'UTR
243,5'UTR
244,5'UTR
245,5'UTR
246,5'UTR
247,5'UTR
248,5'UTR
249,5'UTR
250,5'UTR
251,5'UTR
252,5'UTR
253,5'UTR
254,5'UTR
255,5'UTR
256,5'UTR
257,5'UTR
258,5'UTR
259,5'UTR
260,5'UTR
261,5'UTR
262,5'UTR
263,5'UTR
264,5'UTR
265,5'UTR
266,nsp1
267,nsp1
268,nsp1
269,nsp1
270,nsp1
271,nsp1
272,nsp1
273,nsp1
274,nsp1
